Date(UTC),UnixTimeStamp,Value,
4/24/16,1461456000,8,
4/25/16,1461542400,7.43,
4/26/16,1461628800,7.5,
4/27/16,1461715200,7.77,
4/28/16,1461801600,7.3,
4/29/16,1461888000,7.52,
4/30/16,1461974400,8.83,
5/1/16,1462060800,8.76,
5/2/16,1462147200,10.03,
5/3/16,1462233600,9.37,
5/4/16,1462320000,9.43,
5/5/16,1462406400,9.79,
5/6/16,1462492800,9.27,
5/7/16,1462579200,9.3,
5/8/16,1462665600,9.44,
5/9/16,1462752000,9.32,
5/10/16,1462838400,9.39,
5/11/16,1462924800,9.97,
5/12/16,1463011200,10.1,
5/13/16,1463097600,10.48,
5/14/16,1463184000,10.14,
5/15/16,1463270400,9.94,
5/16/16,1463356800,11.04,
5/17/16,1463443200,12.26,
5/18/16,1463529600,13.29,
5/19/16,1463616000,14.49,
5/20/16,1463702400,13.73,
5/21/16,1463788800,13.95,
5/22/16,1463875200,14.21,
5/23/16,1463961600,13.45,
5/24/16,1464048000,12.62,
5/25/16,1464134400,12.53,
5/26/16,1464220800,12.37,
5/27/16,1464307200,11.11,
5/28/16,1464393600,11.56,
5/29/16,1464480000,12.28,
5/30/16,1464566400,12.48,
5/31/16,1464652800,13.85,
6/1/16,1464739200,13.83,
6/2/16,1464825600,13.78,
6/3/16,1464912000,13.78,
6/4/16,1464998400,13.66,
6/5/16,1465084800,13.85,
6/6/16,1465171200,13.96,
6/7/16,1465257600,14.41,
6/8/16,1465344000,14.44,
6/9/16,1465430400,14.49,
6/10/16,1465516800,13.97,
6/11/16,1465603200,14.01,
6/12/16,1465689600,15.57,
6/13/16,1465776000,17.55,
6/14/16,1465862400,18.7,
6/15/16,1465948800,18.3,
6/16/16,1466035200,20.61,
6/17/16,1466121600,15.49,
6/18/16,1466208000,11.36,
6/19/16,1466294400,12.33,
6/20/16,1466380800,11.7,
6/21/16,1466467200,12.71,
6/22/16,1466553600,13.21,
6/23/16,1466640000,13.58,
6/24/16,1466726400,14.25,
6/25/16,1466812800,14.28,
6/26/16,1466899200,13.82,
6/27/16,1466985600,14.04,
6/28/16,1467072000,12.15,
6/29/16,1467158400,12.76,
